"X","AI_Prov_Name","File_Date","File_Count","Group_Count","Ethnicity","IEP","LEP","Gender","Ven_Stud_ID","Grade","Stud_Test_ID","Score_Flag","Item_ID","Item_Response","Data_Point_A","Final_Score_A","Read1_Date_A","Read1_ID_A","Read1_Score_A","Read1_Cond_A","Read2_Date_A","Read2_ID_A","Read2_Score_A","Read2_Cond_A","Read3_Date_A","Read3_ID_A","Read3_Score_A","Read3_Cond_A","Read5_Date_A","Read5_ID_A","Read5_Score_A","Read5_Cond_A","Data_Point_B","Final_Score_B","Read1_Date_B","Read1_ID_B","Read1_Score_B","Read1_Cond_B","Read2_Date_B","Read2_ID_B","Read2_Score_B","Read2_Cond_B","Read3_Date_B","Read3_ID_B","Read3_Score_B","Read3_Cond_B","Read5_Date_B","Read5_ID_B","Read5_Score_B","Read5_Cond_B","Data_Point_C","Final_Score_C","Read1_Date_C","Read1_ID_C","Read1_Score_C","Read1_Cond_C","Read2_Date_C","Read2_ID_C","Read2_Score_C","Read2_Cond_C","Read3_Date_C","Read3_ID_C","Read3_Score_C","Read3_Cond_C","Read5_Date_C","Read5_ID_C","Read5_Score_C","Read5_Cond_C","Alert_Code_1","Alert_ReaderID_1","Alert_Code_2","Alert_ReaderID_2","prediction_A","prediction_B","prediction_C"
0,"AI-XC",20131218113507,1000,1000,"W","N","N","F",380635,8,11061776,"Y",53045," Tehe discoveries in this article are AMAZING. THEY ARE SO BEAUTIFUL, LIKE CAN U NOT PLZ. &lt;3333333            #YOLO!!!!!!!!!1111!!!!    #SWAGGY! ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.03906655204191,0.138688284043446
1,"AI-XC",20131218113507,1000,1000,"H","Y","Y","F",380788,8,11061778,"Y",53045,"       In the discoveries that have been made in Inca are so important for many reasons,   There important because it tells you alot about the puebloans and p ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.02982297522574,0.0568620768296388
2,"AI-XC",20131218113507,1000,1000,"A","N","N","F",380791,8,11061781,"Y",53045,"      The discoveries that have been made about the Inca, Puebloans, and the Plavlopetri are important. Some of the things we use today have been created by these three cultures. These things help us in our daily lives. Also, the things invented have helped change the world.            Discoveries that have been made by the Inca are important because they created a quipus to record the calandar and keep track of livestock. The Inca also left behind clues such as portraits that displayed their religion, art, architecture, agriculture, government, transportation and way of life. Lastly, the Inca were buried in caves in cliff faces so looters couldn't easily get to them. These discoveries that have been made of the Inca are important.            Discoveries that have been made by the Puebloans are important because the skills for basketmaking are still used today. The Puebloans learned how to make pottery and weapons by using their skills in basketmaking. The Puebloans also invented kivas. Kivas were underground chambers that were ceremonial rooms. This was similar to a church and helped Puebloans gather and make places to weave baskets. These discoveries that have been made of the Puebloans are important.            Discoveries that have been made by the Plavlopetri are important because without these discoveries, nobody would know about how a sunken city may have submerged. Archaeologists have discovered that the Plavlopetri had created over 9,000 square meters of new buildings. This suggested that the town had been used by an elite and raised the status of the settlement. Also, the settlement might have been sank by sea level changes, ground subsidence; earthquakes or a tsunami. These discoveries that have been made by the Plavlopetri are important.            These discoveries that have been made about the Inca, Puebloans, and the Plavlopetri are important. These discoveries have helped archaeologists make assumptions of the lives of these three cultures. These discoveries have also shown archaeologists how the lives of these three cultures were lived. This is why discoveries of the Inca, Puebloans, and the Plavlopetri are important. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16415504758406,1.96478026474222,2
3,"AI-XC",20131218113507,1000,1000,"NR","","","M",380899,8,11061782,"Y",53045," The Incas are so important because they let the Roman empire come and help with what they are doing with there culture.  The Incas from the Andes mountains had lots off gold, sliver, pottery, and stone buildings.  Are knowledge comes from the artifacts we find at dig sites where the Incas could have been at.  Spain took over the Inca empire by killing the last Inca king in 1532.       The Pueblos were now for there basket making.  They lived in pithouse cluster up into small villages  built on mesa tops or in cliff recesses.  They learned that a bow and arrow is more efficient hunting weapon then the spear thrower.  In 1000 A.D. the Mesa Verde had be come very skillful stone masonry.  They made walls of thick, doubled stone and rose two to three stories high.  They have more than 50 rooms.  the farming the did was most of there diet.             Pavlopetri is very important the city that sunk under the ocean.  a group called Anglo-Greek team discovered the lost city.  They think that shifting sands made it go into a protected bay  where the team can look at it.  they found 5000 year old pottery.          those where the very important thing about the civilzation.       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36397561965459,1.50966156464958,0.806543905885578
4,"AI-XC",20131218113507,1000,1000,"NR","","","M",381001,8,11061784,"Y",53045,"  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00049735429115,1.07190022650288,0.51236384674435
5,"AI-XC",20131218113507,1000,1000,"NR","","","F",381006,8,11061787,"Y",53045,"      We today often are learning things about history on a regular basis, but you may think, how do we know these things? It's simple, we learn things by either kept records, passed down stories, or in older cases, archeological discoveries.  Archeologists go to many ancient civilization settlements and make new discoveries almost everyday.  While some discoveries seem boring and not important, archeological discoveries are one of the main things that shapes the way we see the past and how we are now in the present.  These discoveries have given us information about a few specific civilizations, the Inca, the Puebloans, and the Pavlopetri.  Foundings on these ancient civilizations are some of the very things that have created the way man-kind is today.         Many artifacts found in ancient civilizations show records; perhaps of stories or just some sort of writing.  For example, the Inca had no alphabet or form of writing, but they kept track of their livestock and made a calendar all using different colored string called quipus (Ancient Inca). The development of today's language could have very well started with strings the way that the Inca did.  Records about the Inca were also kept by the Spanish, who came to the empire in 1532; they wrote about the Inca in their language and much was learned about the Inca from just that.  To justify what was learned by the spanish cam from artifacts found such as pottery and textiles (Ancient Inca).  These artifacts could very well also show the development of tools and art throughout history and how we are today.        Discoveries about civilization can also effect how we and why we build houses and buildings the way we do today.  The Puebloans were ancient settlers in Mesa Verde, and were well know as skilled craftsmen and basket makers.  The Puebloans made certain types of houses called pithouses.  These houses have support beams and a fire pit with an air deflector (Mesa Verde).  In today's world we have kept a similar method of having good support and fireplaces and chimneys in our houses.  These pithouses later evolved into Kivas, these were very similar but a better design.  Both of these houses had a symbolic hole in the ground called a sipapu, that represented a passage to the underworld (Mesa Verde).       Much like how the symbolic passage to the underworld for the Puebloans, Archeological discoveries can explain myths and legends that we learn about in today's world.  For example, the discovery of the Pavlopetri perfectly explains the legend of the under water city Atlantis.  The Palvlopetri is a sunken settlement off the coast of Greece.  This settlement is likely to be one of the oldest sunken cities their is, with ceramics dating back to the stone age.  We have all heard the stories about a mythical Atlantis and this discovery explains why those stories came to be, just like many archeological discoveries guide us to how today's world is.  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9600275531015,2.76235374084643,2
6,"AI-XC",20131218113507,1000,1000,"NR","","","M",381053,8,11061789,"Y",53045," The discoveries that have been made about the Inca, Puebloans, and Pavlopetri are so important because if we don't know anything about them then we wouldn't have some of the modern things we have today. We also wouldn't have some of the modern architecture because some of the buildings we have today are based off of the buildings they had.       The Inca were a very large empire. They rivaled the the expanse of ancient Rome. Some of the clues that the Inca left behind are a big 'window' to their lives. Stories were also passed down by the Europeans who took over the empire. The Spaniards were not very fluent in the Inca language so they may not have been very accurate with their stories of Inca history. Artifacts left behind are something else that give us some history. Pottery made of stone, silver, and gold lasted hundreds of years buried under ground; some were even found in graves for the dead to use in afterlife. Inca textiles and clothing also shockingly lasted just as long. Ancient cloth usually gets ruined by dampness, but these survived in the dry deserts of Peru or the cold Andes mountains.       About 1,400 yeas ago, Mesa Verde was chosen to be home for a group of native American peoples called the Puebloans or 'the ancient ones'.  For over 700 years they flourished in this area, building elaborate stone communities in the cannon walls. The Puebloans were known as basket-makers. Beginning as nomads they started to lead a more settled life. they replaced hunting with farming, and lived in small one room houses called pit-houses. Thel later began to build houses above ground out of poles and adobe. The baskets that they made show a decline in quality stating that the widespread use in pottery means less attention to the craft.       In the waters of Southern Grese a sunken settlement is thought to be the inspiration of the myth Atlantis. This site straddles 30,000 square meters of the ocean floor. the findings surpassed all expectations; there were buildings, courtyards, main streets, rock-cut tombs, and religious structures as well as thousands of shards from pottery. Then after exploration there were 9,000 more square meters of new buildings. Marine geologists have no idea why the city could have sunk: earthquake, tsunami, or just a rise in sea level. It is the firs sunken city discovered in Grece that predates the tale of Atlantis. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52134891419464,2.536199661152,2
7,"AI-XC",20131218113507,1000,1000,"NR","","","F",381055,8,11061791,"Y",53045," Museums today have the replicas of artifacts, information, and scenes in which historians have conjuered up to this present day about many different civilizations. Everybody learns about them and how they lived, more than one time. It starts out in elementary school, and the basics are taught. The men hunted, and the women sewed, because women were considered not as superior as men back then. In middle school, you get into a little bit more depth on how those people lived, and what they did in everyday life. In high school, you go deeply in depth on the ancient civilizations of America, that started out our country. Learning about these ancient civilizations are very important, because life today is very similar, but with more technology. People farm, cook, sew, ect. Some do it everyday, depending on the living. All 21st century kids should and do learn about the ancient civilizations of our country. All discoveries are important because they have led us to believe what we do believe today.       The discoveries of ancient artifacts on the Inca, Puebloans, and Pavlopetri have shaped today's life as we know it. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29427993507166,1.27770814058804,1.89062194239933
8,"AI-XC",20131218113507,1000,1000,"H","N","N","F",381112,8,11061793,"Y",53045,"     Discoveries about the inca are important because it shows what they did and  how they use to live. To start off they did not have any type of formal alphebet system or form of writing. They didnt leave very much behind for historians to study. One thing they found left behind was a quipus it showed a calendar and kept track of livestock. There are knots on the quipus but no one knows what they mean.       The only things we know about the incas passed on from generation to gerneration. The incas lived between 1438 to about 1532. We know this because of how portraits of there religion. Some artifacts were found in graves that were buried with the dead to use in the afterlife. Lots of there clothing have still surived they were presurved in deserts. Thats why some of the things we find are important to the inca history.                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.06515385249248,0.233387315510886
9,"AI-XC",20131218113507,1000,1000,"NR","","","M",381209,8,11061795,"Y",53045," The Inca, Puebloans, and the Pavlopetri ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.0587798664948,0.640948375833985
